tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
349	For everyone who prioritizes Ã¢Â€Âœconsumer choiceÃ¢Â€Â over a single payer healthcare system, understand that when you force peopleÃ¢Â€Â™s access to healthcare to be tied to their employment, you actually take away their freedom and increase the precariousness of their lives Ã¢Â¬Â‡Ã¯Â¸Â URL	no	nan	nan	nan	nan	no	no
156	#FakeNews Alert  #PIBFactCheck: The claim that Paracetamol can treat #Coronavirus infection is false!  Beware of #False remedies being shared on #Covid19india .  For authentic information on #CoronavirusInIndia follow USERID URL	yes	no	yes	no	yes	no	no
427	How should we approach potential COVID-19 cases? Here's a infographic I made based on the 09 Mar 2020 Guidelines of the DOH-PSMID taskforce. Hopefully this helps us HCPs as we face the growing threat. Stay safe everyone. URL	no	nan	nan	nan	nan	no	yes
806	President Biden called on states to make all adults in the U.S. eligible for Covid-19 vaccines by May 1 and set a goal for the public to be able to gather in small groups during Independence Day weekend https://t.co/cwfSbTD2zb	yes	no	yes	no	no	no	no
857	Together with our partners, @gavi @WHO @CEPIvaccines, we are doing everything possible to ensure people around the world have access to safe, effective Covid-19 vaccines, wherever they live and regardless of income level. More from CEO Pascal Soriot: https://t.co/gQp9VDTsTz https://t.co/NuTuThUaFV	no	nan	nan	nan	nan	no	no
274	#Taiwanâ€™s ability to contain the #COVID19 outbreak is a tribute to our unity &amp; resilience. It also speaks to the collaboration between our government, people, &amp; the many private businesses that have ramped up production to protect public health &amp; make the impossible possible: URL	yes	no	no	no	no	no	no
94	One day, if he wants, and when all this is over, I would like to practice my freeckicks with him on goal! What do you think? ğŸ™Œ	no	nan	nan	nan	nan	no	no
434	Update of confirmed #COVID19 cases outside of China: #corona #coronavirus #CoronaVirusUpdate #Korona #koronawirus #Covid_19 #COVID2019 #coronavirusturkey #coronavirusitalIa #okullartatiledilsin URL	yes	no	yes	no	no	no	no
298	Prime Minister of Israel Benjamin Netanyahu  USERID  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus	yes	no	yes	no	no	no	no
144	Know the facts about #COVID19. Donâ€™t share rumors &amp; unintentionally spread misinformation. Federal, state &amp; local governments are posting current and accurate information. For help in distinguishing rumor from fact, see USERID Coronavirus Rumor Control: URL URL	yes	no	yes	no	no	no	no
71	celebrities making singing videos as corona virus now tops over 230k cases worldwide  URL	yes	no	yes	no	no	no	no
83	me to corona after finding out she infected harvey weinstein URL	no	nan	nan	nan	nan	no	no
138	Fearmongering #PharmaFauci - who  built his entire career on the BOGUS HIV-AID$ causality by pushing a #FakeScience of the immune system &amp; imperial control of servile academics, NOW thinks heâ€™ll get away with this current scam upon a petrified #coronavirus American public.   NOT!	yes	yes	yes	yes	yes	yes	yes
609	Wasnâ€™t happy with the negative press this excellent vaccine received at the start of the year. It wasnâ€™t warranted, obviously overblown and now seems to be neck and neck with the Pfizer/BioNTech vaccine in terms of efficacy. https://t.co/ZTYI7qPVXS https://t.co/mlSxujSWIV https://t.co/fShCP8fcTR	no	nan	nan	nan	nan	no	no
604	I really hope Nigerian officials will allocate the COVID-19 vaccine based on international standards. Medical Doctors, Nurses and other frontline workers, then, folks in their 80s, 70s and 60s. Donâ€™t be unfortunate and share COVID-19 vaccines to family, friends and associates.	no	nan	nan	nan	nan	no	yes
140	â€œNobody wants to go close to me.â€  After Nigeria recorded its first positive #COVID19 case, a story went viral on social media. It claimed the patient's taxi driver was demanding a payment not to spread the disease. The story was fake, but the impact on Jude has been very real. URL	yes	no	yes	no	no	no	no
204	let's get an F in the chat for grandpa	no	nan	nan	nan	nan	no	no
43	This man hospital bill bout to be so much.	yes	no	no	no	no	no	no
786	The first round of #COVAX vaccines has arrived in #SriLanka! This is an important step in our goal to ensure equitable and fair distribution of #COVID19 #vaccines globally. Read more here: https://t.co/Itqodh6hyq #COVID19LK #COVID19SL #SriLanka #lka @GotabayaR @PresRajapaksa https://t.co/yTc8yJqz9j	yes	no	yes	no	no	no	no
617	Former Presidents Carter, Clinton, Bush and Obama and first ladies unite to urge Americans to get vaccinated https://t.co/L9fpU4QvvA via @CBSNews &gt;&gt;&lt;&gt; And ONE President made the vaccines happen. None of the above!	yes	no	yes	no	no	no	no
85	People after the covid-19 quarantine  : URL	no	nan	nan	nan	nan	no	no
12	So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. â€œYoung people arenâ€™t at risk, theyâ€™ll only have mild symptomsâ€ Wrong.   I want to open up about the difficulties Iâ€™ve gone through these past days, what it was like in the ICU...	yes	no	yes	no	yes	no	yes
67	Dominican Republic found the cure for Covid-19 ğŸ˜­ URL	yes	yes	no	no	no	no	no
620	Extent of damage to AstraZeneca vaccineâ€™s perceived safety in Europe revealed % saying they would refuse this vaccine and wait for a diff one AstraZeneca ğŸ‡©ğŸ‡ª27% ğŸ‡«ğŸ‡·22% ğŸ‡®ğŸ‡¹ 23% ğŸ‡ªğŸ‡¸19% ğŸ‡¬ğŸ‡§2% Pfizer ğŸ‡©ğŸ‡ª6% ğŸ‡«ğŸ‡·7% ğŸ‡®ğŸ‡¹ 7% ğŸ‡ªğŸ‡¸5% ğŸ‡¬ğŸ‡§4% Moderna ğŸ‡©ğŸ‡ª12% ğŸ‡«ğŸ‡·11% ğŸ‡®ğŸ‡¹ 11% ğŸ‡ªğŸ‡¸6% ğŸ‡¬ğŸ‡§5% https://t.co/rppoUptxIO https://t.co/yY6rpEcxIJ	yes	no	yes	no	no	no	no
647	Itâ€™s so weird to see members of my faith who prayed and fasted fervently for a cure to COVID-19 reject the highly effective vaccines that emerged in record (one could even say miraculous) time.	no	nan	nan	nan	nan	no	no
643	Tired of upset parents contacting me about the COVID-19 vaccines I gave my 13u players last night. Your child isnâ€™t immune, but when those steroids start kicking in and he throws 95mph youâ€™ll thank me for having your sons best interest in mind. #BeElite	no	nan	nan	nan	nan	no	no
681	Teachers and staff in pre-K-12 schools and childcare programs under age 50 can receive a vaccine at a @kroger, @Walmart and @meijer. Teachers 50+ can be vaccinated anywhere in the state. Visit https://t.co/cfAuXPLaoM to find an eligible location. https://t.co/qLFvpkQLGF https://t.co/vav0D2QtbQ	yes	no	yes	no	no	no	no
740	The Pfizer and Moderna COVID-19 vaccines appear safe for pregnant women based on data from the CDC's surveillance programs. https://t.co/WcitFPkMvQ	yes	no	yes	no	no	no	no
526	New: Russian intelligence agencies have mounted a campaign to undermine confidence in Pfizer and other Covid vaccines using online front publications that in recent months have questioned their development and safety, U.S. officials said. w/ @mgordonwsj https://t.co/x0P4rCiEAx	yes	nan	yes	yes	yes	yes	yes
545	everyone keeps comparing the different vaccines, and honestly i'm at the point where I will take one manufactured by Frito-Lay cool ranch covid vaccine, yes, fine, whatever, just let me see other humans	no	nan	nan	nan	nan	no	no
757	Operation Warp Speed leaders waited more than two months to approve a plan to distribute and administer Covid-19 vaccines proposed by U.S. health officials, administration officials said https://t.co/pwcoXO17IR	yes	no	yes	yes	no	no	no
588	â€˜I want to drive out hesitancy and drive up vaccination among my patients.' GP Dr @fhussain73 is phoning every patient from her surgery who has not yet accepted their #COVIDVaccine, as part of the NHSâ€™s battle against vaccine hesitancy. ğŸ“·: @rankinphoto. https://t.co/OQbUrADDXh https://t.co/NghQDm0zgI	no	nan	nan	nan	nan	no	no
812	1/ That â€œan uncontrolled epidemic and an absence of strategy is absolutely direâ€ 2/ That border restrictions should be tough for the next six months until vaccines make travel safer 3/ That vaccination campaigns need to accelerate Full story: https://t.co/4vrQSOGpwO	no	nan	nan	nan	nan	yes	yes
125	Never Forget..  When India was fighting Corona, pigs like USERID were sharing Fake News to Create Panic for Congress Propaganda. There's no shortage of PPEs.   Assam Medical college students were testing PPEs as what can be used if shortage occurs. URL	yes	nan	yes	yes	yes	yes	yes
524	Grocery chains grew profits by $18 billion in the pandemic so far. Almost all stopped hero pay after a month. 29,000 grocery workers got covid and 74% of them aren't eligible for vaccine yet. We're not treating them as essential. They're sacrificial. https://t.co/fZRruG3tBO	yes	no	yes	yes	yes	no	yes
797	In new campaign, four former Presidents and First Ladies team up promote COVID-19 vaccines. Answers to a lot of top questions on the vaccines are here: https://t.co/v6QML30vKa https://t.co/DVAobbpn2F	yes	no	yes	no	no	no	no
557	Ok listen. A new COVID-19 strain (B.1.526) originated in Manhattan in Feb â€œeludes some of the protection of antibodiesâ€ &amp; the vaccines We donâ€™t want things to get worse so wear masks above your nose, keep physical distance from ppl, AVOID GROUPS, and get any vaccine if you can https://t.co/tTftCb1VIK	yes	no	yes	no	yes	no	no
216	I decided to read almost every paper that exists on #CoronaVirus today.  My background is Biology and Neurology and I'm obsessed with catching parabolic trends early, data and medical research.  Here is a thread with the latest research  Feel free to retweet or cite with credits	no	nan	nan	nan	nan	no	no
228	Todayâ€™s #coronavirus recap:  -95,270 confirmed cases globally &amp; 3,281 deaths  -80% of new cases in ğŸ‡®ğŸ‡·ğŸ‡®ğŸ‡¹ğŸ‡°ğŸ‡·  -@WHO estimates ~3.4% of ğŸŒ #COVID19 cases have died  -â€œIt is a time for pulling out all the stopsâ€ -@DrTedros  -Countries must take a comprehensive, all-government approach	yes	no	yes	no	no	no	yes
795	â€œWhat we need is as many good vaccines as possible,â€ Dr. Fauci said. â€œRather than parsing the difference between 94 and 72, accept the fact that now you have three highly effective vaccines. Period.â€ https://t.co/33WRxK6OOj	no	nan	nan	nan	nan	no	no
164	Maddow - the woman who has peddled lies and wild conspiracy theories for 4 years - is calling on Trump to stop his COVID-19 pressers ğŸ¤¦ğŸ¿â€â™‚ï¸  Zero self-awareness.   URL	yes	nan	yes	yes	yes	no	no
373	THREAD: Fri Jan 31, 2020, a few weeks before #Coronavirus has officially spread to other countries (which led to the bad stock market week Feb 24-Feb 28), the Trump Admin announced travel restrictions on China. Here is some of the reporting it generated. Take Politico of 2/4/20.	yes	no	yes	no	no	no	no
896	Bishop Kevin C. Rhoades of Fort Wayne-South Bend, chairman of the Committee on Doctrine, addresses moral and ethical concerns about #COVID19 vaccines. Read the full statement here: https://t.co/HCy2yuG0ez https://t.co/nHs2BE5TPM	no	nan	nan	nan	nan	no	no
702	Touch downğŸ›¬! 1.02 million life-saving COVID-19 vaccine doses arrived safely in Kenya early this morning. UNICEF procured and delivered these as part of #COVAX, a global initiative to ensure that vaccines are available to ALL countries, no matter their income. @MOH_Kenya https://t.co/hItw7tHoi9	yes	no	yes	no	no	no	no
243	this is the BEST set of info Iâ€™ve found on corona virus and itâ€™s worth watching the full 10mins URL	no	nan	nan	nan	nan	no	no
768	Took my first dose of the COVID Vaccine today at V.R.Multi Speciality Hospital, Kurnool. Kudos to our scientists and doctors for their efforts. They developed Vaccines in shortest possible time. Also, appeal everyone to take Vaccine. Lets make #CoronaFreeIndia https://t.co/bgpM47KAKK	yes	no	yes	no	no	no	no
849	ğŸ“£ BREAKING NEWS: The EU has authorised the fourth #COVID19 vaccine â†’ Janssen (Johnson &amp; Johnson). The authorisation process in place ensures that any vaccine on the EU market is safe and effective. More ğŸ‘‰ https://t.co/G5f0tS6bAH #StrongerTogether #VaccinesWork https://t.co/dlDmQ0PoYz	yes	no	yes	no	no	no	no
242	if i got corona i wouldnâ€™t be that mad tbh. quarantine would give me a lot of time to catch up on shows and stuff, read, write a bunch and if iâ€™m lucky, die	no	nan	nan	nan	nan	no	no
856	BREAKING: Biden plans to direct all states, tribes, and territories to make COVID vaccines available to all eligible adults in the country by May 1 https://t.co/1bPUs0hYum	yes	no	yes	no	no	no	no
777	Russia, China, and Iran have been carrying out info operations to manipulate narratives around #coronavirus vaccines. ASD analyzed &gt;35,000 vaccine-related messages captured on our Hamilton 2.0 dashboard to understand the impact of these ops. https://t.co/XvZjOhTFgs	yes	no	yes	yes	yes	yes	yes
539	Vaccines are here. But it's important that we continue to stay six feet away from others, wear masks, and avoid crowds to help slow the spread of COVID-19.	yes	no	yes	no	no	no	no
50	These workers need protection, healthcare, and sick payâ€”regardless of citizenship status. Their services are ESSENTIAL and there needs to be more aggressive dialogue around this issue. WHAT WOULD LIFE LOOK LIKE WITHOUT THEM? I donâ€™t want to know!	no	nan	nan	nan	nan	no	yes
421	corona has no CHANCE against my essential oils mom.	yes	nan	no	no	no	no	no
120	Sorry, there is no coming back from saying this was all a â€œhoax.â€  I don't give a fuck about â€œchange of tone,â€ â€œchange of heart,â€ nothing.  You mutha fuckers took a serious situation and endangered ALL just to defend a bigot.  Fuck you.  Not sorry.  #coronavirus	no	nan	nan	nan	nan	yes	yes
661	The first batch (1.1 million) AstraZeneca COVID-19 vaccines arrived in Indonesia today under the global vaccine-sharing scheme Covax Facility, co-led by WHO and global vaccine alliance. Indonesia is looking to secure at least 13.7 million doses of AstraZeneca vaccines. https://t.co/JRyiC4ZFkN	yes	no	yes	no	no	no	no
203	The meth you mistook for molly in 2014 was the Corona virus vaccine	yes	yes	no	no	no	no	no
378	Anyone else notice that COVID-19 seemed to pop up almost immediately after impeachment failed?	yes	yes	yes	yes	no	yes	no
214	Toronto has another case of #COVID19 in a traveler who acquired the infection in.....Las Vegas.  You heard that right - Las Vegas.  The USA is exporting cases and the travel history is rapidly becoming irrelevant.  URL	yes	no	yes	yes	yes	yes	yes
591	Got questions about the 2nd-gen COVID-19 vaccines developed by @MacGlobalNexus? Immunologist Zhou Xing explains how they work, how researchers mobilized so fast to develop it and why they're creating an inhaled vaccine, rather than an injected one. https://t.co/XgJCMBYQiI	no	nan	nan	nan	nan	no	no
61	China has 24 times more people than Italy...	yes	no	no	no	no	no	no
904	UPDATE: The first consignment of 507,000 Astra Zeneca COVID-19 COVAX vaccines provided by the Federal Government arrived in Lagos at 5a.m today. The vaccines have been transferred from the airport to our State cold chain facilities for safe storage and inventory management. https://t.co/391Nhyojlz	yes	no	yes	no	no	no	no
854	Get the facts about the #COVID19 vaccine from @NYCHealthCommr: âœ…The vaccines are safe and offer strong protection from COVID-19 âœ…The vaccines are more than 94% effective âœ…You cannot get COVID-19 from a vaccine Learn more: https://t.co/BHibl51DtZ https://t.co/raW9ddRQOR	yes	no	yes	no	no	no	no
101	To be clear, Sen Loeffler not only dumped stock, illegally using non-public information (allegedly), she used the proceeds to buys stock in a TELEWORKING SOFTWARE company, profiting off the #COVID19-induced collapse of the economy.	yes	no	yes	yes	yes	no	yes
124	Sen. Rand Paul, the guy who opposed the #coronavirus relief bill and paid sick leave, tested positive on March 22 and is ON PAID SICK LEAVE  His father, and former Congressman, Ron Paul, published an essay titled â€œThe Coronavirus Hoaxâ€ on March 17. Hypocrisy infects from the root URL	yes	no	nan	yes	yes	no	no
396	The first Silicon Valley death from COVID-19 was a woman in her 60s. Both my parents are in their 60s. If you want to travel internationally and be socially irresponsible just because you're young, "it's just the flu," or flights are cheap then you're just an inconsiderate brat.	yes	no	yes	no	no	no	no
237	MORE PEOPLE DIE FROM THE REGULAR FUCKING FLU EVERY YEAR THAN THE NUMBER OF PEOPLE WHO HAVE DIED FROM THE CORONA VIRUS JUST WASH YOUR HANDS COVER YOUR MOUTH WHEN COUGHING TAKE YOUR FUCKING VITAMINS AND STOP BEING RACIST TO EVERY ASIAN PERSON YOU SEE YOU FUCK HEADS	yes	yes	yes	yes	yes	yes	yes
418	We call on government communication agencies to prioritize public health interests in the light of a possible corona virus outbreak. #BeNice URL	no	nan	nan	nan	nan	no	yes
909	Front-line workers in Texas are predominantly women and people of color. Outside of health workers and school employees, these workers have not yet been prioritized for COVID-19 vaccines. https://t.co/qtvYw0uKjI	yes	no	yes	no	no	no	no
616	Vaccines are extremely effective at preventing severe Covid illness and death, but no vaccine is perfect. Continue masking up.	yes	no	yes	no	no	no	no
389	But I thought the Corona Virus was just a Democratic hoax to hurt Trump? Moral to the story: science and nature do not give a damn what Party you belong to. URL	yes	no	no	no	no	no	no
684	Vaccines are complex medicines. Europeans can trust that COVID-19 vaccines authorised in the EU have gone through rigorous testing and trials, and are only put on the market if safety and efficiency are proven. Learn more about the process â†“ #SafeVaccines https://t.co/BuXaQnBRR5	yes	no	yes	no	no	no	no
625	An exciting day for us as #Uganda received the initial batch of 864,000 doses of AstraZeneca COVID-19 vaccines manufactured by the Serum Institute of India and shipped via the COVAX facility. Thank you to all who made this possible. https://t.co/g4AHCWnHzl	yes	no	yes	no	no	no	no
804	This Urgent letter to the European Medicines Agency has some 'super-star' signatories. Please pass on to anyone considering getting the jab. "...the approval of the COVID-19 vaccines by the EMA was premature and reckless..." https://t.co/3sguCsXw8H	no	nan	nan	nan	nan	yes	yes
269	whats the coolest way we can say '16 people have been tested'	no	nan	nan	nan	nan	no	no
581	In Alaska, Indigenous people have been dying from Covid-19 at four times the rate of white residents. Tribal health workers are now leading an urgent effort to deliver vaccines to remote villages â€” using planes and sleds, at times in 61-below temperatures. https://t.co/37dCmZyfqi	yes	no	yes	no	no	no	no
785	Several states have moved from risk-based to age-based systems for distributing COVID-19 vaccines. People with high-risk disabilities say that change cast them aside â€” and that they should've been prioritized. https://t.co/YI6MKewlmt	yes	no	yes	no	no	no	no
21	My mans House would pop 6 Vicodin on Thursday and have that cure by Saturday morning.	no	nan	nan	nan	nan	no	no
238	Translation - A 60 year old women caught a cold and is fine.	yes	yes	yes	yes	no	no	no
592	Alaska has become the first state to drop eligibility requirements for Covid-19 vaccines and allow anyone 16 or older who lives or works in the state to get a vaccine, Gov. Dunleavy says. https://t.co/32DSapyzsA	yes	no	yes	no	no	no	no
379	How did USERID fail to contain #coronavirus? 1. By focusing on China, he failed to stop the virus coming in from other countries; 2. By focusing on foreign nationals, he failed to stop virus carried by US travelers; 3. By not testing, he let the virus spread undetected. URL	yes	yes	yes	yes	yes	yes	yes
663	BREAKING: Coalition fails in bid to source extra Covid-19 vaccines from EU and UK. In other news, HSE chief executive Paul Reidâ€™s salary increases to â‚¬420,103.	yes	nan	yes	yes	no	no	no
547	Sit down! Canada has following supplier agreements for COVID-19 vaccine - Pfizer: upto 76 million doses Moderna: 44m AstraZeneca: 20m AstraZeneca from SII: 2m These are commercial agreements and no other country is making such a song and dance about supplying vaccines. https://t.co/ATMa1rC8uz	yes	no	yes	no	no	no	no
578	As pharmacies and groceries across the U.S. prepare to dispense Covid-19 vaccines to the public, their customers and workers are wondering what happens to extra doses left unused at dayâ€™s endâ€”and who might get access to one.	no	nan	nan	nan	nan	no	no
44	Video of a hospital in Spain. Watch it. Watch it again with the volume up.  Now cancel that brunch.  Postpone that coffee meet-up.  Rain check that dinner with friends.  Sucks doesnâ€™t it? But not as hard as this ğŸ‘‡ #COVIDãƒ¼19 #coronavirus #StayAtHome   URL	no	nan	nan	nan	nan	yes	yes
183	NEW #CDCTRAVELNOTICES: #COVID19 in Romania, Qatar, Singapore, Saudi Arabia, Philippines, Ecuador, South Africa, Indonesia, and India. Avoid all nonessential travel to these areas. More information: URL. URL	yes	no	yes	no	no	no	yes
259	As of March 6th 3PM KST, #BTSARMY donated approx.  505,500,000 won for COVID-19 relief in 9 days!!  USERID ğŸ’œğŸ’œğŸ’œğŸ’œğŸ’œğŸ’œğŸ’œ URL	yes	no	no	no	yes	no	no
